RA,DEC,Z,sSFR_0_1Gyr_best_fit,sSFR_0_1Gyr_percentile16,sSFR_0_1Gyr_percentile50,sSFR_0_1Gyr_percentile84,mass_stellar_best_fit,mass_stellar_percentile16,mass_stellar_percentile50,mass_stellar_percentile84
134.5262277,0.6116488,0.1035,0.000000000375,-9.575,-9.425,-9.375,1996000000,9.217,9.247,9.317
134.664891,0.4247278,0.0406,0.0000000004373,-9.675,-9.475,-9.325,206500000,8.292,8.352,8.432
134.5694186,0.4396799,0.0114,0.00000000147,-9.225,-9.075,-8.825,12760000,7.102,7.182,7.227
134.9434047,0.582879,0.0112,0.00000000005629,-10.37,-10.27,-10.02,96860000,7.897,7.997,8.092
135.033754,0.5721821,0.0584,0.0000000001464,-10.12,-9.825,-9.625,707900000,8.817,8.977,9.087
135.1513574,0.450196,0.0586,0.0000000009582,-9.325,-9.025,-8.625,286500000,8.352,8.512,8.677
135.4382679,0.5218478,0.0185,0.0000000000172,-10.77,-10.77,-9.625,2333000000,9.302,9.362,9.367
136.3720389,0.5848704,0.0711,0.0000000001783,-10.87,-10.17,-9.875,2194000000,9.317,9.462,9.657
136.6026647,0.5735617,0.0533,0.0000000002662,-9.925,-9.625,-9.475,783500000,8.837,8.892,8.987
136.7716273,0.5309915,0.0536,0.000000000624,-9.425,-9.275,-9.075,576800000,8.707,8.782,8.887
136.8760076,0.5222735,0.0273,0.0000000008876,-9.425,-9.275,-9.125,91990000,7.987,8.077,8.177
136.9176422,0.4759733,0.0777,0.0000000002811,-10.12,-9.775,-9.575,1014000000,9.052,9.097,9.157
136.9260379,0.611166,0.0955,0.0000000002722,-10.12,-10.07,-9.725,2598000000,9.382,9.412,9.462
136.9544823,0.6040476,0.0536,0.00000000002057,-11.02,-10.72,-10.57,1633000000,9.077,9.162,9.282
137.0335868,0.5921715,0.0538,0.0000000001239,-10.67,-10.22,-9.975,876600000,8.912,9.032,9.167
137.1572688,0.4686975,0.0539,0.00000000002761,-10.72,-10.52,-10.32,1784000000,9.112,9.217,9.307
137.2700158,0.4727463,0.0359,0.00000000005486,-10.37,-10.17,-9.875,702900000,8.477,8.662,8.817
