RA,DEC,Z,logmstar,dellogmstar
129.7595739,0.0902486,0.04993,8.99662,0.1125
129.7942702,0.0060478,0.13013,9.76771,0.121093
129.8282983,0.1980164,0.0784,9.34357,0.125495
130.0472486,0.0647391,0.12942,10.1258,0.138215
130.1623769,0.0967002,0.0612,8.84011,0.133168
130.1665388,0.1501501,0.02449,8.27229,0.113969
130.2564484,0.1340899,0.10155,10.1911,0.128702
130.262442,0.1291372,0.10175,10.1502,0.137101
130.2809003,0.1952479,0.10121,10.2489,0.133379
130.3211302,0.1946761,0.00039,5.3119,0.110248
130.1918695,0.1095901,0.11884,9.74768,0.119501
130.5873945,0.161524,0.07826,10.843,0.117256
130.6192406,0.1237676,0.05089,9.61719,0.173048
130.5895431,0.0859222,0.0765,9.56722,0.152379
130.6085994,0.136382,0.05084,10.4107,0.116564
130.7436959,0.2061099,0.05033,10.5739,0.117413
130.7545533,0.16932554,0.02933,9.31119,0.139754
130.6388161,0.0416911,0.13434,10.3178,0.125341
130.66833,0.178705,0.07796,10.2493,0.120271
130.7047062,0.0232129,0.1279,10.5887,0.120248
130.7095096,0.1627797,0.0782,9.74684,0.134584
130.7141459,0.0899491,0.14754,11.0212,0.100774
130.7340453,0.0159529,0.01022,7.06878,0.0902778
130.7709629,0.1819732,0.13403,10.291,0.139903
130.774995,0.1612064,0.14214,10.208,0.0800679
130.7193591,0.0332983,0.11383,9.91961,0.120792
130.8806758,0.0098358,0.12883,10.3706,0.160074
130.9118862,0.1174289,0.08609,9.88473,0.125111
130.7974785,0.0973068,0.07836,9.13011,0.133429
130.8993553,0.0168797,0.12793,10.6404,0.12355
